fold,flatBand,slopeLen,adxStrongTh,minScore,cooldown,is_n,is_pf,is_exp,is_win_rate,is_wins,is_losses,is_win3R,is_tp1R,is_sl
0,0.5,20,20,60,10,46,1.5333333333333334,0.34782608695652173,0.34782608695652173,16,30,15,1,30
0,0.5,20,20,60,25,40,2.0434782608695654,0.6,0.425,17,23,15,2,23
0,0.5,20,20,60,50,32,1.2727272727272727,0.1875,0.3125,10,22,9,1,22
0,0.5,20,20,75,10,46,1.5333333333333334,0.34782608695652173,0.34782608695652173,16,30,15,1,30
0,0.5,20,20,75,25,40,2.0434782608695654,0.6,0.425,17,23,15,2,23
0,0.5,20,20,75,50,32,1.2727272727272727,0.1875,0.3125,10,22,9,1,22
0,0.5,20,25,50,10,48,1.5161290322580645,0.3333333333333333,0.3541666666666667,17,31,15,2,31
0,0.5,20,25,50,25,40,2.3333333333333335,0.7,0.475,19,21,15,4,21
0,0.5,20,25,50,50,33,1.55,0.3333333333333333,0.3939393939393939,13,20,9,4,20
0,0.5,20,25,60,10,46,1.3870967741935485,0.2608695652173913,0.32608695652173914,15,31,14,1,31
0,0.5,20,25,60,25,40,1.8333333333333333,0.5,0.4,16,24,14,2,24
0,0.5,20,25,60,50,31,1.3333333333333333,0.22580645161290322,0.3225806451612903,10,21,9,1,21
0,0.5,20,25,75,10,46,1.3870967741935485,0.2608695652173913,0.32608695652173914,15,31,14,1,31
0,0.5,20,25,75,25,40,1.8333333333333333,0.5,0.4,16,24,14,2,24
0,0.5,20,25,75,50,31,1.3333333333333333,0.22580645161290322,0.3225806451612903,10,21,9,1,21
0,0.7,5,20,50,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,50,25,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,50,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,5,20,60,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,60,25,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,60,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,5,20,75,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,75,25,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,20,75,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,5,25,50,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,25,50,25,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,25,50,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,5,25,60,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,25,60,25,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,25,60,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,5,25,75,10,20,2.0,0.6,0.4,8,12,8,0,12
0,0.7,5,25,75,25,20,2.0,0.6,0.4,8,12,8,0,12
