entry_t,exit_t,R,instr
2026-04-28 12:00:00,2026-04-30 15:00:00,-1.0,XAUUSD
2026-04-30 15:00:00,2026-05-01 10:00:00,-1.0,XAUUSD
2026-05-04 15:00:00,2026-05-06 04:00:00,-1.0,XAUUSD
2026-05-06 07:00:00,2026-05-11 08:00:00,1.0,XAUUSD
2026-05-11 08:00:00,2026-05-11 16:00:00,-1.0,XAUUSD
2026-04-17 12:00:00,2026-05-16 16:00:00,1.0,BTCUSD
2026-05-15 07:00:00,2026-05-21 07:00:00,1.0,XAUUSD
2026-05-21 07:00:00,2026-05-26 12:00:00,-1.0,XAUUSD
2026-05-26 12:00:00,2026-05-28 05:00:00,3.0,XAUUSD
2026-05-28 07:00:00,2026-05-28 15:00:00,-1.0,XAUUSD
2026-05-29 09:00:00,2026-06-01 16:00:00,-1.0,XAUUSD
2026-05-16 16:00:00,2026-06-01 16:00:00,3.0,BTCUSD
2026-06-01 17:00:00,2026-06-02 07:00:00,-1.0,XAUUSD
2026-06-01 16:00:00,2026-06-03 04:00:00,3.0,BTCUSD
2026-06-03 07:00:00,2026-06-04 14:00:00,-1.0,XAUUSD
2026-06-05 10:00:00,2026-06-05 19:00:00,3.0,XAUUSD
2026-06-08 12:00:00,2026-06-09 16:00:00,-1.0,XAUUSD
