symbol,target_type,window,flags,n,settle_rate,win_rate,pf,total_pips,avg_pips,avg_settle_h,med_settle_h,avg_rr,med_rr,avg_dist,pct_timeout
EURUSD,offset,offset_07:00,CLU|1:1,282,68.4,70.6,2.84,3520.0,12.5,5.9,4.5,0.43,1.0,28.2,7.4
EURUSD,offset,offset_07:00,CLU+LLR|1:1.5,203,72.9,75.9,2.84,2656.0,13.1,7.3,5.5,0.31,0.67,28.4,13.3
EURUSD,offset,offset_08:00,H4+CLU+LLR|1:2,134,73.1,76.9,2.84,1872.0,14.0,6.8,5.0,0.23,0.5,30.2,17.9
EURUSD,offset,offset_04:00,EMA+LLR|tier,233,82.4,82.8,2.83,1456.0,6.2,2.4,0.1,0.14,0.33,11.9,4.3
EURUSD,offset,offset_09:00,CLU|1:2,298,72.5,75.5,2.83,3960.0,13.3,6.5,4.9,0.22,0.5,28.3,17.4
EURUSD,offset,offset_09:00,CLU+LLR|tier,216,72.7,76.4,2.82,2848.0,13.2,7.0,5.2,0.18,0.33,28.3,24.1
EURUSD,offset,offset_08:00,CLU+LLR|1:1.5,207,71.0,74.9,2.79,2692.0,13.0,7.2,5.2,0.29,0.67,28.7,13.5
EURUSD,offset,offset_09:00,LLR|1:1,565,66.7,68.0,2.79,3999.0,7.1,3.5,2.0,0.36,1.0,15.8,3.0
EURUSD,offset,offset_06:00,EMA+CLU+LLR|1:1.5,61,72.1,72.1,2.78,910.0,14.9,5.6,3.8,0.26,0.67,31.4,9.8
EURUSD,offset,offset_07:00,CLU|1:2,282,74.8,77.3,2.78,3693.0,13.1,6.6,5.0,0.23,0.5,28.2,14.9
EURUSD,offset,offset_09:00,CLU+LLR|1:2,216,71.8,75.5,2.78,2802.0,13.0,7.0,5.2,0.22,0.5,28.3,18.5
EURUSD,offset,offset_04:00,EMA+H4+CLU+LLR|tier,42,76.2,76.2,2.77,651.0,15.5,5.3,3.0,0.17,0.33,32.1,16.7
EURUSD,offset,offset_09:00,CLU+LLR|1:1.5,216,69.9,73.6,2.76,2737.0,12.7,6.8,5.2,0.28,0.67,28.3,14.8
EURUSD,offset,offset_04:00,EMA+LLR|1:2,233,77.3,77.7,2.75,1388.0,6.0,2.2,0.2,0.19,0.5,11.9,3.9
EURUSD,offset,offset_05:00,H4+CLU+LLR|tier,102,70.6,75.5,2.75,1418.0,13.9,6.8,4.2,0.18,0.33,32.5,23.5
EURUSD,offset,offset_07:00,LLR|tier,566,83.4,84.5,2.75,4338.0,7.7,3.8,1.5,0.19,0.33,15.7,7.6
EURUSD,offset,offset_04:00,H4+LLR|tier,305,82.3,83.6,2.73,2154.0,7.1,3.3,1.0,0.18,0.33,15.3,9.5
EURUSD,offset,offset_07:00,CLU+LLR|1:2,203,73.9,76.8,2.73,2617.0,12.9,7.4,5.5,0.23,0.5,28.4,16.3
EURUSD,offset,offset_09:00,CLU|tier,298,73.2,76.2,2.73,3904.0,13.1,6.5,5.0,0.18,0.33,28.3,22.1
